BARCODE,ASSET DESCRIPTION,SERIAL NO,CATEGORY_1,CATEGORY_2,CATEGORY_3,CATEGORY_4,CATEGORY_5,USAGE_YES/NO,REPUNIT_1,REPUNIT_2,LOCATION_1,LOCATION_2,LOCATION_3,BUILDING,FLOOR NUMBER,ROOM NUMBER,VERIFICATION DATE,DUPLICATE BARCODE,ASSET CONDITION - 30 JUNE 2012,ASSET CONDITION - 30 JUNE 2013,RESPONSIBLE PERSON,LEASED,VIN NUMBER,START LAT,START LONG,STREET NAME
X0027,WELDING MAGNET,,OTHER ASSETS,MACHINERY AND EQUIPMENT,,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,PARKS STORE ROOM,,,R0047,,,GOOD,,PARKS STORE ROOM,NO,,,,
X0031,BENCH GRINDER,,OTHER ASSETS,MACHINERY AND EQUIPMENT,,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,PARKS STORE ROOM,,,R0047,,,GOOD,,PARKS STORE ROOM,NO,,,,
X0032,BOSCH GRINDER,,OTHER ASSETS,MACHINERY AND EQUIPMENT,,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,PARKS STORE ROOM,,,R0047,,,GOOD,,PARKS STORE ROOM,NO,,,,
01025,CAMARA DIGITAL,,OTHER ASSETS,MACHINERY AND EQUIPMENT,MEGA PIXELS ES15,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,LIBRARY,,,R0030,,,GOOD,,LIBRARY,NO,,,,
X0023,INSTALLATION AND CONFIGURATION OF NETWORK INFRASTR,,OTHER ASSETS,COMPUTER EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,SERVER ROOM,,,R0024,,,GOOD,,SERVER ROOM,NO,,,,
00162,CHAIR KITCHEN,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,STORE ROOM PARKS,,,R0054,,,POOR,,STORE ROOM/PARKS,NO,,,,
00171,TABLE WOOD,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,ELECTRICAL OFFICE,,,R0202,,,FAIR,,ELECTRIC OFFICE,NO,,,,
00222,HEATER,,OTHER ASSETS,MACHINERY AND EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0015,,,GOOD,,LENTSOE D C,NO,,,,
00538,CHAIR MID BACK,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENVALE,LIBRARY,,,R0035,,,GOOD,,LIBRARY WARRENVALE,NO,,,,
00667,COMPUTER MONITOR,,OTHER ASSETS,COMPUTER EQUIPMENT,C500,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0028,,,POOR,,OLLYN E,NO,,,,
00680,CHAIR MID BACK,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENVALE,CITY HALL,,,R0032,,,FAIR,,CITY HALL WARRENVALE,NO,,,,
00843,TRACTOR CASE,,OTHER ASSETS,MACHINERY AND EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,WORKSHOP,,,R0044,,,SCRAP,,WORKSHOP,NO,,,,
00857,GENERATOR,,OTHER ASSETS,MACHINERY AND EQUIPMENT,LGA 340/GE,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,WORKSHOP,,,R0044,,,GOOD,,WORKSHOP,NO,,,,
00882,STOOL BAR,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,WORKSHOP,,,R0044,,,SCRAP,,WORKSHOP,NO,,,,
00954,MACHINE COMPRESSOR,,OTHER ASSETS,MACHINERY AND EQUIPMENT,DN450X4,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,WORKSHOP,,,R0044,,,SCRAP,,WORKSHOP,NO,,,,
00968,GENERATOR,,OTHER ASSETS,MACHINERY AND EQUIPMENT,GX390,,,,,,MAGARENG LOCAL MUNICIPALITY,IKHUSENG,SANITATION STORE,,,R0123,,,GOOD,,SANITATION STORE,NO,,,,
00974,FIRE FIGTHING WATERPUMP,,OTHER ASSETS,MACHINERY AND EQUIPMENT,GX160,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,STORE ROOM PARKS,,,R0054,,,FAIR,,STORE ROOM/PARKS,NO,,,,
00975,TRAILER,,OTHER ASSETS,MACHINERY AND EQUIPMENT,RK40,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0112,,,GOOD,,TRAILOR FIRE FITHING,NO,,,,
00976,MACHINE ROLLER BOMAG SIT-ON,BW120AD,OTHER ASSETS,MACHINERY AND EQUIPMENT,BOMAG,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0113,,,GOOD,,MACHINE BOMAG ROLLER,NO,,,,
00977,MACHINE PHOTOCOPIER,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,3550,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,TESTING STATION,,,R0048,,,GOOD,,TESTING STATION,NO,,,,
00978,BATTERY CHARGER,,OTHER ASSETS,MACHINERY AND EQUIPMENT,20,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,WORKSHOP,,,R0044,,,FAIR,,WORKSHOP,NO,,,,
00979,ROLLER BOMAG,,OTHER ASSETS,MACHINERY AND EQUIPMENT,,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,STORE ROOM PARKS,,,R0054,,,GOOD,,STORE ROOM/PARKS,NO,,,,
00980,GENERATOR,,OTHER ASSETS,MACHINERY AND EQUIPMENT,SELWOOD S150,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0114,,,GOOD,,TRAILOR GENERATOR,NO,,,,
00982,MACHINE CLEANING HIGH PRESSURE,,OTHER ASSETS,MACHINERY AND EQUIPMENT,900,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,WORKSHOP,,,R0044,,,FAIR,,WORKSHOP,NO,,,,
00983,MACHINE BATTERY TESTER,,OTHER ASSETS,MACHINERY AND EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,WORKSHOP,,,R0044,,,FAIR,,WORKSHOP,NO,,,,
00984,MACHINE GRINDER ANGLE,,OTHER ASSETS,MACHINERY AND EQUIPMENT,GWS8115,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,WORKSHOP,,,R0044,,,GOOD,,WORKSHOP,NO,,,,
00985,MIXER CONCRETE,,OTHER ASSETS,MACHINERY AND EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,WORKSHOP,,,R0044,,,GOOD,,WORKSHOP,NO,,,,
00986,GRADER,,OTHER ASSETS,MACHINERY AND EQUIPMENT,D53A-16,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,WORKSHOP,,,R0044,,,GOOD,,WORKSHOP,NO,,,,
00987,LDV NISSAN 1400,DJM852NC,OTHER ASSETS,TRANSPORT ASSETS,DJM852NC,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0118,,,GOOD,,LDV NISSAN 1400,NO,,,,
00989,TRUCK TIPPER - CM14,BJC134NC,OTHER ASSETS,TRANSPORT ASSETS,BJC134NC,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0121,,,POOR,,TRUCK NISSAN TIPPER,NO,,,,
00990,APPARATUS SPEED CAMARA UNIT,,OTHER ASSETS,MACHINERY AND EQUIPMENT,III PL-19524,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,TRAFFIC SECTION,,,R0045,,,FAIR,,REGISTATION TRAFFIC,NO,,,,
00993,MACHINE GRINDER ANGLE,,OTHER ASSETS,MACHINERY AND EQUIPMENT,KOKI G235R,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,WORKSHOP,,,R0044,,,GOOD,,WORKSHOP,NO,,,,
00994,GENERATOR,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,FIRMAN SPG6500E2,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,WORKSHOP,,,R0044,,,GOOD,,WORKSHOP,NO,,,,
00995,GENERATOR,,OTHER ASSETS,MACHINERY AND EQUIPMENT,FIRMAN SPG6500E2,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,WORKSHOP,,,R0044,,,GOOD,,WORKSHOP,NO,,,,
00996,MACHINE GRINDER ANGLE,,OTHER ASSETS,MACHINERY AND EQUIPMENT,BAVARIA 150,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,WORKSHOP,,,R0044,,,GOOD,,WORKSHOP,NO,,,,
00998,MACHINE GRINDER ANGLE,,OTHER ASSETS,MACHINERY AND EQUIPMENT,C3560,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,WORKSHOP,,,R0044,,,GOOD,,WORKSHOP,NO,,,,
00999,STAND PRINTER,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,TESTING STATION,,,R0048,,,GOOD,,TESTING STATION,NO,,,,
01001,COMPUTER MONITOR,,OTHER ASSETS,COMPUTER EQUIPMENT,LOW RADIATION 5E,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0026,,,GOOD,,ZALISA L,NO,,,,
01002,COMPUTER CPU,,OTHER ASSETS,COMPUTER EQUIPMENT,PARTNER,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0040,,,GOOD,,OCKHUIS MS B,NO,,,,
01003,CHAIR VISITOR ARM,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0001,,,GOOD,,SEGANO K,NO,,,,
01004,COMPUTER PRINTER,,OTHER ASSETS,COMPUTER EQUIPMENT,DESKJET 1000,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0005,,,GOOD,,SEREI D,NO,,,,
01006,CHAIR TYPIST,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0005,,,GOOD,,SEREI D,NO,,,,
01010,CABINET ZIPLE,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0007,,,FAIR,,MOHANYAHANYA A N,NO,,,,
01011,CHAIR VISITOR ARM,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,SERVER ROOM,,,R0024,,,GOOD,,SERVER ROOM,NO,,,,
01012,CHAIR VISITOR ARM,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,MUNICIPAL CHAMBERS,,,R0010,,,GOOD,,MUNICIPAL CHAMBERS,NO,,,,
01013,BOOKCASE LIBRARY SINGLE SIDED,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,LIBRARY,,,R0030,,,GOOD,,LIBRARY,NO,,,,
01014,BOOKCASE LIBRARY SINGLE SIDED,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,LIBRARY,,,R0030,,,GOOD,,LIBRARY,NO,,,,
01015,BOOKCASE LIBRARY SINGLE SIDED,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,LIBRARY,,,R0030,,,GOOD,,LIBRARY,NO,,,,
01016,BOOKCASE LIBRARY SINGLE SIDED,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,LIBRARY,,,R0030,,,GOOD,,LIBRARY,NO,,,,
01017,BOOKCASE LIBRARY SINGLE SIDED,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,LIBRARY,,,R0030,,,GOOD,,LIBRARY,NO,,,,
01018,BOOKCASE LIBRARY SINGLE SIDED,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,LIBRARY,,,R0030,,,GOOD,,LIBRARY,NO,,,,
01019,MACHINE LAMINATING,,OTHER ASSETS,MACHINERY AND EQUIPMENT,PRODUCTS LF9052,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,LIBRARY,,,R0030,,,FAIR,,LIBRARY,NO,,,,
01020,BOOKCASE LIBRARY DOUBLE SIDED,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,LIBRARY,,,R0030,,,GOOD,,LIBRARY,NO,,,,
01021,BOOKCASE LIBRARY SINGLE SIDED,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,LIBRARY,,,R0030,,,GOOD,,LIBRARY,NO,,,,
01022,BOOKCASE LIBRARY SINGLE SIDED,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,LIBRARY,,,R0030,,,GOOD,,LIBRARY,NO,,,,
01023,BOOKCASE LIBRARY SINGLE SIDED,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,LIBRARY,,,R0030,,,GOOD,,LIBRARY,NO,,,,
01026,BOOKCASE LIBRARY SINGLE SIDED,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,LIBRARY,,,R0030,,,GOOD,,LIBRARY,NO,,,,
01027,BOOKCASE LIBRARY SINGLE SIDED,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,LIBRARY,,,R0030,,,GOOD,,LIBRARY,NO,,,,
01028,BOOKCASE LIBRARY SINGLE SIDED,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,LIBRARY,,,R0030,,,GOOD,,LIBRARY,NO,,,,
01028,BOOKCASE LIBRARY SINGLE SIDED,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,LIBRARY,,,R0030,,,GOOD,,LIBRARY,NO,,,,
01029,BOOKCASE LIBRARY DOUBLE SIDED,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,LIBRARY,,,R0030,,,GOOD,,LIBRARY,NO,,,,
01030,BOOKCASE LIBRARY SINGLE SIDED,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,LIBRARY,,,R0030,,,GOOD,,LIBRARY,NO,,,,
01031,BOOKCASE LIBRARY DOUBLE SIDED,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,LIBRARY,,,R0030,,,GOOD,,LIBRARY,NO,,,,
01032,STAND COMPUTER,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,LIBRARY,,,R0030,,,GOOD,,LIBRARY,NO,,,,
01033,STAND BOOKS MAGAZINE,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,LIBRARY,,,R0030,,,GOOD,,LIBRARY,NO,,,,
01034,CHAIR KITCHEN,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,CITY HALL,,,R0031,,,GOOD,,CITY HALL,NO,,,,
01035,CHAIR KITCHEN,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,CITY HALL,,,R0031,,,GOOD,,CITY HALL,NO,,,,
01036,CHAIR KITCHEN,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,CITY HALL,,,R0031,,,GOOD,,CITY HALL,NO,,,,
01037,CHAIR KITCHEN,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,CITY HALL,,,R0031,,,GOOD,,CITY HALL,NO,,,,
01038,CHAIR KITCHEN,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,CITY HALL,,,R0031,,,GOOD,,CITY HALL,NO,,,,
01039,CHAIR KITCHEN,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,CITY HALL,,,R0031,,,GOOD,,CITY HALL,NO,,,,
01040,BOOKCASE LIBRARY SINGLE SIDED,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,LIBRARY,,,R0030,,,GOOD,,LIBRARY,NO,,,,
01041,BOOKCASE LIBRARY SINGLE SIDED,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,LIBRARY,,,R0030,,,FAIR,,LIBRARY,NO,,,,
