BARCODE,"ASSET DESCRIPTION","SERIAL NO",CATEGORY_1,CATEGORY_2,CATEGORY_3,CATEGORY_4,CATEGORY_5,USAGE_YES/NO,REPUNIT_1,REPUNIT_2,LOCATION_1,LOCATION_2,LOCATION_3,LOCATION_4,"FLOOR NUMBER","ROOM TYPE","VERIFICATION DATE",OWNERSHIP,"DUPLICATE BARCODE","ASSET CONDITION",OWNER,LEASED,"VIN NUMBER","DATE OF VERIFICATION","SUPPLIER NAME","GAMAP FUNDING","GFS FUNDING",QUANTITY,WIDTH,GRADING,DIAMETRE,LENGTH,"FROM NODE","TO NODE","NODE LAYER","START LAT","START LONG","END LAT","END LONG",GIS_ID,"STAND NUMBER","STREET NAME","LAND RENTED (Y/N)","LAND OR IMPROVEMENTS","LAND MATCHED","ERF NUMBER",PORTION,EXTENSION,"TITLE DEED NUMBER","SURVEY GENERAL REFERANCE NO","LAND SIZE","VOTE NUMBER","ORDER NUMBER","ORDER DATE","INVOICE NUMBER","INVOICE DATE","CHEQUE NUMBER","WAS ASSET BROUGHT IN ON A DRC",,"UPDATE STATUS","CREATE TIME","UPDATE TIME","PREV CONDITION","PREV CATEGORY 1","PREV CATEGORY 2","PREV CATEGORY 3","PREV CATEGORY 4","PREV TOWN","PREV STREET","PREV BUILDING","PREV FLOOR","PREV ROOM"
A05905,"PUMP SWITCH",,INFRASTRUCTURE,SEWER,"PUMP SWITCH",STEEL,,NO,"TECHNICAL SERVICES",SEWER,BOSHOF,BOSHOF,"REWIL SEWER PLANT",SUWER,,,2012/06/30,"TECHNICAL SERVICES",N/A,POOR,"TECHNICAL SERVICES",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-28.5438369,25.2476995,N/A,N/A,N/A,N,"MARAIS STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Updated,"2013-06-15 19:28:22","2013-06-24 12:17:16",POOR,INFRASTRUCTURE,SEWER,"PUMP SWITCH",STEEL,BOSHOF,N/A,N/A,N/A,N/A
A05973,"WATER TANK",,INFRASTRUCTURE,SEWER,"WATER TANK","STEEL 200,000L",,YES,"TECHNICAL SERVICES",SEWER,BOSHOF,BOSHOF,SONDERWATER,"SONDERWATER SEWER PLANT",,,2012/06/30,"TECHNICAL SERVICES",N/A,GOOD,"TECHNICAL SERVICES",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-28.5433508,25.2494905,N/A,N/A,N/A,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Updated,"2013-06-15 19:28:22","2013-06-24 12:17:16",GOOD,INFRASTRUCTURE,SEWER,"WATER TANK","STEEL 200,000L",BOSHOF,N/A,"SONDERWATER SEWER PLANT",N/A,N/A
A05975,"PUMP SWITCH",,INFRASTRUCTURE,SEWER,"PUMP SWITCH",,,YES,"TECHNICAL SERVICES",SEWER,BOSHOF,BOSHOF,SONDERWATER,"SONDERWATER SEWER PLANT",,,2012/06/30,"TECHNICAL SERVICES",N/A,GOOD,"TECHNICAL SERVICES",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-28.5823995,25.3521666,N/A,N/A,N/A,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Updated,"2013-06-15 19:28:22","2013-06-24 12:17:16",GOOD,INFRASTRUCTURE,SEWER,"PUMP SWITCH",N/A,BOSHOF,N/A,"SONDERWATER SEWER PLANT",N/A,N/A
A05974,"METER BOX",,INFRASTRUCTURE,SEWER,"METER BOX","ELECTRO CONTROLS",,YES,"TECHNICAL SERVICES",SEWER,BOSHOF,BOSHOF,SONDERWATER,"SONDERWATER SEWER PLANT",,,2012/06/30,"TECHNICAL SERVICES",N/A,GOOD,"TECHNICAL SERVICES",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-28.5823995,25.3521666,N/A,N/A,N/A,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Updated,"2013-06-15 19:28:22","2013-06-24 12:17:16",GOOD,INFRASTRUCTURE,SEWER,"METER BOX","ELECTRO CONTROLS",BOSHOF,N/A,"SONDERWATER SEWER PLANT",N/A,N/A
A05976,MOTOR,,INFRASTRUCTURE,SEWER,MOTOR,11KW,,YES,"TECHNICAL SERVICES",SEWER,BOSHOF,BOSHOF,SONDERWATER,"SONDERWATER SEWER PLANT",,,2012/06/30,"TECHNICAL SERVICES",N/A,FAIR,"TECHNICAL SERVICES",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-28.5823995,25.3521666,N/A,N/A,N/A,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Updated,"2013-06-15 19:28:22","2013-06-24 12:17:16",GOOD,INFRASTRUCTURE,SEWER,MOTOR,11KW,BOSHOF,N/A,"SONDERWATER SEWER PLANT",N/A,N/A
A05977,MOTOR,,INFRASTRUCTURE,SEWER,MOTOR,11KW,,YES,"TECHNICAL SERVICES",SEWER,BOSHOF,BOSHOF,SONDERWATER,"SONDERWATER SEWER PLANT",,,2012/06/30,"TECHNICAL SERVICES",N/A,FAIR,"TECHNICAL SERVICES",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-28.5823995,25.3521666,N/A,N/A,N/A,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Updated,"2013-06-15 19:28:22","2013-06-24 12:17:16",GOOD,INFRASTRUCTURE,SEWER,MOTOR,11KW,BOSHOF,N/A,"SONDERWATER SEWER PLANT",N/A,N/A
A05978,"AIR COMPRESSOR",,INFRASTRUCTURE,SEWER,"AIR COMPRESSOR","UNIELECTRIC 2.2KW",,YES,"TECHNICAL SERVICES",SEWER,BOSHOF,BOSHOF,SONDERWATER,"SONDERWATER SEWER PLANT",,,2012/06/30,"TECHNICAL SERVICES",N/A,,"TECHNICAL SERVICES",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,"2013-06-15 19:28:22","2013-06-15 19:28:22",GOOD,INFRASTRUCTURE,SEWER,"AIR COMPRESSOR","UNIELECTRIC 2.2KW",BOSHOF,N/A,"SONDERWATER SEWER PLANT",N/A,N/A
A05981,MOTOR,,INFRASTRUCTURE,SEWER,MOTOR,,,YES,"TECHNICAL SERVICES",SEWER,BOSHOF,BOSHOF,SONDERWATER,"SONDERWATER SEWER PLANT",,,2012/06/30,"TECHNICAL SERVICES",N/A,,"TECHNICAL SERVICES",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,"2013-06-15 19:28:22","2013-06-15 19:28:22",GOOD,INFRASTRUCTURE,SEWER,MOTOR,N/A,BOSHOF,N/A,"SONDERWATER SEWER PLANT",N/A,N/A
A05979,"VALVE ACTIVATOR",,INFRASTRUCTURE,SEWER,"VALVE ACTIVATOR","AIR TOQUE",,YES,"TECHNICAL SERVICES",SEWER,BOSHOF,BOSHOF,SONDERWATER,"SONDERWATER SEWER PLANT",,,2012/06/30,"TECHNICAL SERVICES",N/A,GOOD,"TECHNICAL SERVICES",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-28.5823995,25.3521666,N/A,N/A,N/A,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Updated,"2013-06-15 19:28:22","2013-06-24 12:17:16",GOOD,INFRASTRUCTURE,SEWER,"VALVE ACTIVATOR","AIR TOQUE",BOSHOF,N/A,"SONDERWATER SEWER PLANT",N/A,N/A
A05980,"VALVE ACTIVATOR",,INFRASTRUCTURE,SEWER,"VALVE ACTIVATOR","AIR TOQUE",,YES,"TECHNICAL SERVICES",SEWER,BOSHOF,BOSHOF,SONDERWATER,"SONDERWATER SEWER PLANT",,,2012/06/30,"TECHNICAL SERVICES",N/A,GOOD,"TECHNICAL SERVICES",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-28.5823995,25.3521666,N/A,N/A,N/A,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Updated,"2013-06-15 19:28:22","2013-06-24 12:17:16",GOOD,INFRASTRUCTURE,SEWER,"VALVE ACTIVATOR","AIR TOQUE",BOSHOF,N/A,"SONDERWATER SEWER PLANT",N/A,N/A
A05986,FENCING,,INFRASTRUCTURE,SEWER,FENCING,WIRE,,YES,"TECHNICAL SERVICES",SEWER,BOSHOF,BOSHOF,SONDERWATER,"SONDERWATER SEWER PLANT",,,2012/06/30,"TECHNICAL SERVICES",N/A,,"TECHNICAL SERVICES",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,166X2M,N/A,N/A,N/A,,,N/A,N/A,N/A,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,"2013-06-15 19:28:22","2013-06-15 19:28:22",FAIR,INFRASTRUCTURE,SEWER,FENCING,WIRE,BOSHOF,N/A,"SONDERWATER SEWER PLANT",N/A,N/A
A06000,GATE,,INFRASTRUCTURE,SEWER,GATE,"STEEL ",,YES,"TECHNICAL SERVICES",SEWER,BOSHOF,BOSHOF,SONDERWATER,"SONDERWATER SEWER PLANT",,,2012/06/30,"TECHNICAL SERVICES",N/A,,"TECHNICAL SERVICES",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,2X2M,N/A,N/A,N/A,,,N/A,N/A,N/A,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,"2013-06-15 19:28:22","2013-06-15 19:28:22",GOOD,INFRASTRUCTURE,SEWER,GATE,"STEEL ",BOSHOF,N/A,"SONDERWATER SEWER PLANT",N/A,N/A
A01125,CASHBOX,,"OTHER ASSETS","OFFICE EQUIPMENT",CASHBOX,STEEL,,YES,"FINANCIAL SERVICES",N/A,DEALESVILLE,DEALESVILLE,"MUNICIPAL OFFICES (R0029)","WALK-IN SAFE",A05551,R0032,2012/06/30,"FINANCIAL SERVICES",N/A,,"PULENG LEGEGERU",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"BRAND STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,"2013-06-15 19:28:22","2013-06-15 19:28:22",GOOD,"OTHER ASSETS","OFFICE EQUIPMENT",CASHBOX,STEEL,DEALESVILLE,"BRAND STREET","WALK-IN SAFE",A05551,R0032
A08030,LAPTOP,LXTK90212784417882000,"OTHER ASSETS","COMPUTER EQUIPMENT",LAPTOP,ACER,,NO,"MUNICIPAL MANAGER",N/A,BOSHOF,BOSHOF,"MUNICIPAL BUILDING","MMD [PA]",N/A,R05720,2012/06/30,"MMD [PA]",N/A,,"N\A",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"VOORTREKKER STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,"2013-06-15 19:28:22","2013-06-15 19:28:22",BROKEN,"OTHER ASSETS","COMPUTER EQUIPMENT",LAPTOP,ACER,BOSHOF,"VOORTREKKER STREET","MMD [PA]",N/A,R05720
A08046,PRINTER,CN998DB15B,"OTHER ASSETS","COMPUTER EQUIPMENT",PRINTER,"HP J4580",,YES,"TECHNICAL SERVICES",N/A,HERTZOGVILLE,HERTZOGVILLE,"MUNICIPAL BUILDING (A06522)",TECHNICAL,A06523,R0049,2012/06/30,"TECHNICAL SERVICES",N/A,,"MR. M SEHLOHO",N/A,N/A,2012/06/30,"COMPUDEN COMPUTERS",N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"VAN NIEKERK STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23236,YES,"TAKE ON 2011",Unchanged,"2013-06-15 19:28:22","2013-06-15 19:28:22",GOOD,"OTHER ASSETS","COMPUTER EQUIPMENT",PRINTER,"HP J4580",HERTZOGVILLE,"VAN NIEKERK STREET",TECHNICAL,A06523,R0049
A03495,"FILE CABINET",,"OTHER ASSETS","FURNITURE & FITTNGS","FILE CABINET","FOREST WOODEN/GLASS",,YES,"OFFICE OF MAYOR",N/A,BOSHOF,BOSHOF,"MUNICIPAL BUILDING","MAYOR OFFICE",N/A,R0062,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",N/A,,"MS. KG MOKHOBO",N/A,N/A,2012/06/30,"OFFICE CREATIONS",N/A,N/A,1.00,N/A,N/A,N/A,0.4X2.7X2.2M,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"VOORTREKKER STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0101/4413/0000,N/A,N/A,N/A,N/A,22285,YES,"TAKE ON 2011",Unchanged,"2013-06-15 19:28:22","2013-06-15 19:28:22",EXCELLENT,"OTHER ASSETS","FURNITURE & FITTNGS","FILE CABINET","FOREST WOODEN/GLASS",BOSHOF,"VOORTREKKER STREET","MAYOR OFFICE",N/A,R0062
A03140,"FILE CABINET",,"OTHER ASSETS","FURNITURE & FITTNGS","FILE CABINET","FOREST WOODEN",,YES,"OFFICE OF MAYOR",N/A,BOSHOF,BOSHOF,"MUNICIPAL BUILDING","MAYOR OFFICE",N/A,R0062,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",N/A,,"MS. KG MOKHOBO",N/A,N/A,2012/06/30,"OFFICE CREATIONS",N/A,N/A,1.00,N/A,N/A,N/A,0.4X0.9X2.2M,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"VOORTREKKER STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0101/4413/0000,N/A,N/A,N/A,N/A,22285,YES,"TAKE ON 2011",Unchanged,"2013-06-15 19:28:22","2013-06-15 19:28:22",EXCELLENT,"OTHER ASSETS","FURNITURE & FITTNGS","FILE CABINET","FOREST WOODEN",BOSHOF,"VOORTREKKER STREET","MAYOR OFFICE",N/A,R0062
NF,"HEATER OUTDOOR GAS",2011011574,"OTHER ASSETS","OFFICE EQUIPMENT","HEATER OUTDOOR GAS","ALVA GHP14",,N/A,N/A,N/A,BOSHOF,BOSHOF,N/A,,,,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",N/A,,"N\A",N/A,N/A,2012/06/30,"BUILDERS WAREHOUSE",N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"VOORTREKKER STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0101/3809/0000,N/A,N/A,N/A,N/A,23408,YES,"TAKE ON 2011",Unchanged,"2013-06-15 19:28:22","2013-06-15 19:28:22",GOOD,"OTHER ASSETS","OFFICE EQUIPMENT","HEATER OUTDOOR GAS","ALVA GHP14",BOSHOF,"VOORTREKKER STREET",N/A,N/A,N/A
NF,CAMERA,,"OTHER ASSETS","OFFICE EQUIPMENT",CAMERA,"SONY CYBERSHOT 9.1MP",,N/A,N/A,N/A,BOSHOF,BOSHOF,N/A,,,,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",N/A,,"N\A",N/A,N/A,2012/06/30,"MAKHONYA TECHNOLOGIES",N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"VOORTREKKER STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0530/5001/0000,N/A,N/A,N/A,N/A,22109,YES,"TAKE ON 2011",Unchanged,"2013-06-15 19:28:22","2013-06-15 19:28:22",GOOD,"OTHER ASSETS","OFFICE EQUIPMENT",CAMERA,"SONY CYBERSHOT 9.1MP",BOSHOF,"VOORTREKKER STREET",N/A,N/A,N/A
NF,GPS,,"OTHER ASSETS","OFFICE EQUIPMENT",GPS,GARMIN,,N/A,"TECHNICAL SERVICES",N/A,N/A,N/A,N/A,,,,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",N/A,,"N\A",N/A,N/A,2012/06/30,"MAKHONYA TECHNOLOGIES",N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0530/5001/0000,N/A,N/A,N/A,N/A,22109,YES,"TAKE ON 2011",Unchanged,"2013-06-15 19:28:22","2013-06-15 19:28:22",GOOD,"OTHER ASSETS","OFFICE EQUIPMENT",GPS,GARMIN,N/A,N/A,N/A,N/A,N/A
